Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Centro,85-89 anni,totale,di cui tumori maligni della vescica
Centro,40-44 anni,maschi,altre malattie dell'apparato digerente
Centro,35-39 anni,maschi,di cui infarto miocardico acuto
Centro,40-44 anni,femmine,altre malattie del sistema circolatorio
Centro,40-44 anni,femmine,"cirrosi, fibrosi ed epatite cronica"
Centro,55-59 anni,maschi,di cui tumori maligni del rene
Centro,55-59 anni,totale,di cui accidenti di trasporto
Centro,50-54 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,95 anni e più,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,80-84 anni,femmine,altre malattie del cuore
Centro,25-29 anni,femmine,di cui melanomi maligni della cute
Centro,45-49 anni,femmine,"cirrosi, fibrosi ed epatite cronica"
Centro,50-54 anni,femmine,altre malattie dell'apparato genitourinario
Centro,25-29 anni,maschi,malattie croniche delle basse vie respiratorie
Centro,55-59 anni,femmine,altre malattie infettive e parassitarie
Centro,65-69 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,65-69 anni,totale,epatite virale
Centro,50-54 anni,femmine,di cui altri tumori maligni
Centro,65-69 anni,maschi,di cui tumori maligni della tiroide
Centro,40-44 anni,maschi,di cui cadute accidentali
Centro,20-24 anni,totale,malattie dell'apparato digerente
Centro,70-74 anni,totale,di cui tumori maligni del rene
Centro,90-94 anni,femmine,malattie ischemiche del cuore
Centro,95 anni e più,totale,epatite virale
Centro,30-34 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,85-89 anni,femmine,malattie croniche delle basse vie respiratorie
Centro,80-84 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,maschi,di cui tumori maligni dello stomaco
Centro,90-94 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,80-84 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,65-69 anni,maschi,cause sconosciute e non specificate
Centro,80-84 anni,maschi,altre malattie del cuore
Centro,40-44 anni,totale,disturbi psichici e comportamentali
Centro,80-84 anni,femmine,abuso di alcool (compresa psicosi alcolica)
Centro,25-29 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,55-59 anni,femmine,di cui tumori maligni dell'ovaio
Centro,20-24 anni,femmine,tumori maligni
Centro,95 anni e più,totale,accidenti
Centro,95 anni e più,femmine,accidenti
Centro,10-14 anni,femmine,altre malattie del cuore
Centro,40-44 anni,totale,di cui morbo di hodgkin e linfomi
Centro,75-79 anni,totale,tumori maligni
Centro,0 anni,totale,accidenti
Centro,65-69 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Centro,75-79 anni,femmine,du cui altre malattie ischemiche del cuore
Centro,55-59 anni,maschi,alcune malattie infettive e parassitarie
Centro,50-54 anni,totale,di cui leucemia
Centro,20-24 anni,totale,cause sconosciute e non specificate
Centro,45-49 anni,totale,di cui avvelenamento accidentale
Centro,65-69 anni,totale,accidenti
Centro,25-29 anni,maschi,altre malattie del sistema respiratorio
Centro,75-79 anni,maschi,di cui tumori maligni della laringe
Centro,85-89 anni,femmine,di cui asma
Centro,50-54 anni,maschi,altre malattie del sistema circolatorio
Centro,85-89 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,40-44 anni,totale,di cui altri tumori maligni
Centro,90-94 anni,maschi,aids (malattia da hiv)
Centro,80-84 anni,femmine,malattie del sistema respiratorio
Centro,90-94 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,55-59 anni,totale,di cui tumori maligni della vescica
Centro,65-69 anni,maschi,malattie del rene e dell'uretere
Centro,55-59 anni,maschi,diabete mellito
Centro,90-94 anni,maschi,di cui altri tumori maligni
Centro,80-84 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,totale,maschi,altre malattie infettive e parassitarie
Centro,45-49 anni,totale,di cui annegamento e sommersione accidentali
Centro,95 anni e più,totale,di cui tumori maligni di altre parti dell'utero
Centro,35-39 anni,maschi,di cui avvelenamento accidentale
Centro,65-69 anni,maschi,di cui avvelenamento accidentale
Centro,40-44 anni,maschi,di cui tumori maligni della laringe
Centro,totale,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,25-29 anni,maschi,accidenti
Centro,75-79 anni,femmine,di cui tumori maligni della tiroide
Centro,25-29 anni,totale,altre malattie dell'apparato digerente
Centro,50-54 anni,femmine,di cui accidenti di trasporto
Centro,70-74 anni,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,80-84 anni,femmine,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,75-79 anni,totale,di cui tumori maligni del seno
Centro,75-79 anni,maschi,suicidio e autolesione intenzionale
Centro,30-34 anni,totale,altre malattie del cuore
Centro,70-74 anni,femmine,di cui tumori maligni del seno
Centro,70-74 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,15-19 anni,totale,Covid-19
Centro,35-39 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,60-64 anni,totale,suicidio e autolesione intenzionale
Centro,55-59 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,0 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,25-29 anni,maschi,di cui asma
Centro,80-84 anni,maschi,di cui annegamento e sommersione accidentali
Centro,95 anni e più,femmine,du cui altre malattie ischemiche del cuore
Centro,25-29 anni,totale,accidenti
Centro,1-4 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,85-89 anni,totale,polmonite
Centro,0 anni,femmine,totale
Centro,50-54 anni,totale,altre malattie del sistema circolatorio
Centro,55-59 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,35-39 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,20-24 anni,maschi,di cui leucemia
Centro,50-54 anni,femmine,alcune malattie infettive e parassitarie
Centro,0 anni,maschi,tumori
Centro,65-69 anni,maschi,alcune malattie infettive e parassitarie
Centro,35-39 anni,femmine,di cui tumori maligni del seno
Centro,85-89 anni,totale,influenza
Centro,60-64 anni,maschi,di cui morbo di hodgkin e linfomi
Centro,40-44 anni,maschi,"ulcera dello stomaco, duodeno e digiuno"
Centro,95 anni e più,totale,malattie ischemiche del cuore
Centro,60-64 anni,maschi,di cui tumori maligni della vescica
Centro,85-89 anni,totale,malattie del rene e dell'uretere
Centro,0 anni,totale,totale
Centro,65-69 anni,maschi,malattia di alzheimer
Centro,55-59 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,50-54 anni,maschi,di cui melanomi maligni della cute
Centro,60-64 anni,maschi,di cui tumori maligni dell'esofago
Centro,35-39 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,75-79 anni,maschi,di cui accidenti di trasporto
Centro,55-59 anni,femmine,di cui morbo di hodgkin e linfomi
Centro,85-89 anni,totale,di cui tumori maligni della cervice uterina
Centro,10-14 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,90-94 anni,femmine,di cui asma
Centro,75-79 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,40-44 anni,totale,malattie del rene e dell'uretere
Centro,90-94 anni,totale,di cui tumori maligni del seno
Centro,25-29 anni,totale,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,80-84 anni,femmine,accidenti
Centro,40-44 anni,maschi,altre malattie del sistema circolatorio
Centro,75-79 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,85-89 anni,totale,"sintomi, segni, risultati anomali e cause mal definite"
Centro,95 anni e più,maschi,di cui asma
Centro,50-54 anni,femmine,malattie cerebrovascolari
Centro,25-29 anni,femmine,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,50-54 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,90-94 anni,maschi,di cui tumori maligni della laringe
Centro,30-34 anni,totale,Covid-19
Centro,0 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,totale,totale,disturbi psichici e comportamentali
Centro,65-69 anni,totale,influenza
Centro,95 anni e più,totale,di cui leucemia
Centro,25-29 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,65-69 anni,totale,malattia di alzheimer
Centro,45-49 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,95 anni e più,totale,malattie del rene e dell'uretere
Centro,5-9 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,60-64 anni,totale,di cui tumori maligni della prostata
Centro,50-54 anni,maschi,malattie del rene e dell'uretere
Centro,40-44 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,90-94 anni,femmine,di cui tumori maligni dell'esofago
Centro,60-64 anni,maschi,alcune malattie infettive e parassitarie
Centro,90-94 anni,totale,di cui altre malattie croniche delle basse vie respiratorie
Centro,25-29 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,65-69 anni,maschi,aids (malattia da hiv)
Centro,totale,totale,di cui tumori maligni della tiroide
Centro,15-19 anni,maschi,altre cause esterne di traumatismo e avvelenamento
Centro,80-84 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,75-79 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,30-34 anni,femmine,di cui altri tumori maligni
Centro,50-54 anni,maschi,di cui tumori maligni della vescica
Centro,60-64 anni,maschi,morbo di parkinson
Centro,totale,femmine,di cui tumori maligni della vescica
Centro,80-84 anni,totale,di cui tumori maligni della tiroide
Centro,85-89 anni,totale,altre cause esterne di traumatismo e avvelenamento
Centro,totale,totale,malattie della cute e del tessuto sottocutaneo
Centro,80-84 anni,femmine,malattie cerebrovascolari
Centro,10-14 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,75-79 anni,maschi,di cui tumori maligni della vescica
Centro,45-49 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,85-89 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,35-39 anni,femmine,di cui leucemia
Centro,85-89 anni,maschi,tumori maligni
Centro,85-89 anni,maschi,altre cause esterne di traumatismo e avvelenamento
Centro,totale,totale,"ulcera dello stomaco, duodeno e digiuno"
Centro,40-44 anni,femmine,altre malattie dell'apparato digerente
Centro,20-24 anni,maschi,di cui annegamento e sommersione accidentali
Centro,10-14 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Centro,35-39 anni,totale,tubercolosi
Centro,50-54 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,25-29 anni,maschi,malattie del sistema circolatorio
Centro,95 anni e più,totale,altre malattie del sistema circolatorio
Centro,25-29 anni,femmine,di cui tumori maligni del pancreas
Centro,15-19 anni,totale,altre malattie infettive e parassitarie
Centro,45-49 anni,totale,malattie dell'apparato genitourinario
Centro,60-64 anni,femmine,malattie cerebrovascolari
Centro,totale,femmine,polmonite
Centro,85-89 anni,totale,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,55-59 anni,femmine,di cui tumori maligni del pancreas
Centro,15-19 anni,femmine,polmonite
Centro,95 anni e più,femmine,di cui tumori maligni dello stomaco
Centro,60-64 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,85-89 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,85-89 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Centro,65-69 anni,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,totale,totale,malattie cerebrovascolari
Centro,70-74 anni,femmine,suicidio e autolesione intenzionale
Centro,75-79 anni,maschi,malattie del sistema circolatorio
Centro,55-59 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,45-49 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,45-49 anni,femmine,aids (malattia da hiv)
Centro,50-54 anni,femmine,"Covid-19, virus non identificato"
Centro,50-54 anni,totale,altre malattie dell'apparato genitourinario
Centro,30-34 anni,totale,du cui altre malattie ischemiche del cuore
Centro,55-59 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,30-34 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,95 anni e più,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,90-94 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,65-69 anni,totale,di cui tumori maligni del seno
Centro,20-24 anni,totale,altre malattie del sistema respiratorio
Centro,45-49 anni,totale,di cui melanomi maligni della cute
Centro,totale,femmine,altre malattie del sistema respiratorio
Centro,10-14 anni,femmine,di cui cadute accidentali
Centro,75-79 anni,maschi,influenza
Centro,60-64 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,80-84 anni,totale,altre malattie del cuore
Centro,70-74 anni,maschi,di cui avvelenamento accidentale
Centro,65-69 anni,totale,malattie del sistema circolatorio
Centro,50-54 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,totale,totale,di cui tumori maligni dell'ovaio
Centro,totale,maschi,malattie del sistema nervoso e degli organi di senso
Centro,95 anni e più,maschi,demenza
Centro,60-64 anni,totale,di cui altri tumori maligni
Centro,5-9 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,50-54 anni,totale,polmonite
Centro,95 anni e più,totale,malattie cerebrovascolari
Centro,90-94 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,totale,femmine,"Covid-19, virus identificato"
Centro,75-79 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,totale,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,70-74 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,90-94 anni,femmine,altre malattie del sistema respiratorio
Centro,70-74 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,20-24 anni,maschi,di cui avvelenamento accidentale
Centro,75-79 anni,totale,di cui asma
Centro,85-89 anni,maschi,altre malattie dell'apparato digerente
Centro,90-94 anni,totale,epatite virale
Centro,90-94 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,90-94 anni,totale,altre malattie infettive e parassitarie
Centro,55-59 anni,totale,di cui tumori maligni di altre parti dell'utero
Centro,35-39 anni,maschi,aids (malattia da hiv)
Centro,10-14 anni,totale,di cui cadute accidentali
Centro,50-54 anni,femmine,cause sconosciute e non specificate
Centro,95 anni e più,maschi,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,50-54 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,85-89 anni,totale,altre malattie del sistema respiratorio
Centro,80-84 anni,maschi,"Covid-19, virus non identificato"
Centro,60-64 anni,maschi,malattie del rene e dell'uretere
Centro,55-59 anni,femmine,di cui tumori maligni dello stomaco
Centro,70-74 anni,femmine,malattie dell'apparato genitourinario
Centro,50-54 anni,totale,du cui altre malattie ischemiche del cuore
Centro,70-74 anni,femmine,di cui tumori maligni della vescica
Centro,0 anni,maschi,altre malattie del cuore
Centro,40-44 anni,maschi,tumori
Centro,30-34 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Centro,30-34 anni,totale,altre malattie del sistema circolatorio
Centro,0 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,95 anni e più,totale,di cui infarto miocardico acuto
Centro,70-74 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,maschi,malattie cerebrovascolari
Centro,45-49 anni,femmine,totale
Centro,65-69 anni,maschi,influenza
Centro,45-49 anni,totale,di cui tumori maligni del rene
Centro,40-44 anni,totale,di cui tumori maligni dell'ovaio
Centro,90-94 anni,femmine,alcune malattie infettive e parassitarie
Centro,totale,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,femmine,di cui melanomi maligni della cute
Centro,50-54 anni,totale,altre malattie dell'apparato digerente
Centro,80-84 anni,totale,di cui asma
Centro,75-79 anni,femmine,di cui altri tumori maligni
Centro,25-29 anni,totale,di cui altri tumori maligni
Centro,55-59 anni,maschi,altre malattie del sistema circolatorio
Centro,65-69 anni,femmine,altre malattie infettive e parassitarie
Centro,80-84 anni,femmine,tumori
Centro,80-84 anni,maschi,di cui melanomi maligni della cute
Centro,45-49 anni,femmine,di cui tumori maligni della tiroide
Centro,20-24 anni,totale,altre malattie del sistema circolatorio
Centro,totale,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,75-79 anni,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,80-84 anni,totale,aids (malattia da hiv)
Centro,totale,totale,di cui infarto miocardico acuto
Centro,35-39 anni,femmine,di cui melanomi maligni della cute
Centro,55-59 anni,femmine,"ulcera dello stomaco, duodeno e digiuno"
Centro,40-44 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,15-19 anni,totale,altre malattie del sistema respiratorio
Centro,75-79 anni,femmine,di cui tumori maligni della cervice uterina
Centro,85-89 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,75-79 anni,maschi,aids (malattia da hiv)
Centro,65-69 anni,femmine,altre malattie del cuore
Centro,totale,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,45-49 anni,totale,aids (malattia da hiv)
Centro,90-94 anni,totale,di cui infarto miocardico acuto
Centro,55-59 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,90-94 anni,totale,di cui leucemia
Centro,95 anni e più,totale,totale
Centro,45-49 anni,maschi,di cui tumori maligni della tiroide
Centro,80-84 anni,femmine,di cui tumori maligni del pancreas
Centro,85-89 anni,femmine,altre malattie dell'apparato genitourinario
Centro,75-79 anni,totale,disturbi psichici e comportamentali
Centro,75-79 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,90-94 anni,totale,malattie del rene e dell'uretere
Centro,90-94 anni,femmine,cause sconosciute e non specificate
Centro,50-54 anni,femmine,di cui tumori maligni dell'ovaio
Centro,5-9 anni,femmine,di cui accidenti di trasporto
Centro,45-49 anni,maschi,malattie ischemiche del cuore
Centro,50-54 anni,femmine,di cui tumori maligni del seno
Centro,95 anni e più,totale,di cui asma
Centro,60-64 anni,femmine,malattie del sistema circolatorio
Centro,80-84 anni,maschi,malattie dell'apparato genitourinario
Centro,15-19 anni,maschi,totale
Centro,70-74 anni,femmine,tumori
Centro,40-44 anni,totale,tumori
Centro,75-79 anni,maschi,"Covid-19, virus identificato"
Centro,totale,totale,malattie del rene e dell'uretere
Centro,65-69 anni,totale,di cui tumori maligni della tiroide
Centro,15-19 anni,totale,tumori
Centro,0 anni,maschi,alcune condizioni morbose che hanno origine nel periodo perinatale
Centro,85-89 anni,maschi,Covid-19
Centro,10-14 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Centro,65-69 anni,femmine,di cui tumori maligni dello stomaco
Centro,70-74 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,50-54 anni,maschi,polmonite
Centro,40-44 anni,maschi,alcune malattie infettive e parassitarie
Centro,35-39 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,55-59 anni,totale,diabete mellito
Centro,totale,totale,di cui cadute accidentali
Centro,70-74 anni,maschi,altre malattie del sistema respiratorio
Centro,1-4 anni,totale,di cui altri tumori maligni
Centro,55-59 anni,maschi,malattia di alzheimer
Centro,75-79 anni,maschi,di cui tumori maligni dell'esofago
Centro,10-14 anni,maschi,di cui tumori maligni della vescica
Centro,10-14 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,55-59 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Centro,55-59 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,40-44 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,85-89 anni,totale,malattie cerebrovascolari
Centro,70-74 anni,femmine,accidenti
Centro,20-24 anni,maschi,altre malattie dell'apparato digerente
Centro,35-39 anni,maschi,altri disturbi psichici e comportamentali
Centro,90-94 anni,totale,influenza
Centro,70-74 anni,femmine,di cui cadute accidentali
Centro,55-59 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Centro,totale,totale,epatite virale
Centro,25-29 anni,totale,aids (malattia da hiv)
Centro,60-64 anni,totale,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,45-49 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,50-54 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,90-94 anni,femmine,di cui tumori maligni dell'ovaio
Centro,60-64 anni,totale,di cui melanomi maligni della cute
Centro,65-69 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,70-74 anni,femmine,di cui infarto miocardico acuto
Centro,40-44 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Centro,85-89 anni,maschi,malattie dell'apparato genitourinario
Centro,75-79 anni,totale,di cui accidenti di trasporto
Centro,65-69 anni,totale,morbo di parkinson
Centro,60-64 anni,maschi,malattie croniche delle basse vie respiratorie
Centro,65-69 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,50-54 anni,maschi,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,85-89 anni,totale,epatite virale
Centro,85-89 anni,totale,di cui tumori maligni del pancreas
Centro,90-94 anni,totale,malattie croniche delle basse vie respiratorie
Centro,80-84 anni,maschi,malattie del sistema respiratorio
Centro,85-89 anni,totale,demenza
Centro,75-79 anni,totale,"omicidio, aggressione"
Centro,50-54 anni,totale,di cui tumori maligni dell'esofago
Centro,95 anni e più,maschi,malattie del rene e dell'uretere
Centro,1-4 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,50-54 anni,femmine,di cui annegamento e sommersione accidentali
Centro,totale,maschi,altre cause esterne di traumatismo e avvelenamento
Centro,70-74 anni,maschi,di cui accidenti di trasporto
Centro,90-94 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,90-94 anni,femmine,di cui tumori maligni della vescica
Centro,50-54 anni,femmine,cause esterne di traumatismo e avvelenamento
Centro,70-74 anni,totale,di cui tumori maligni del pancreas
Centro,25-29 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,80-84 anni,totale,diabete mellito
Centro,65-69 anni,maschi,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,totale,totale,di cui tumori maligni del rene
Centro,45-49 anni,femmine,malattia di alzheimer
Centro,85-89 anni,totale,di cui annegamento e sommersione accidentali
Centro,55-59 anni,femmine,totale
Centro,65-69 anni,maschi,epatite virale
Centro,20-24 anni,femmine,di cui tumori maligni del seno
Centro,90-94 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,30-34 anni,totale,polmonite
Centro,90-94 anni,femmine,malattie croniche delle basse vie respiratorie
Centro,30-34 anni,maschi,suicidio e autolesione intenzionale
Centro,25-29 anni,totale,polmonite
Centro,95 anni e più,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,15-19 anni,totale,di cui morbo di hodgkin e linfomi
Centro,60-64 anni,maschi,altre malattie del sistema circolatorio
Centro,totale,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Centro,70-74 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,65-69 anni,maschi,morbo di parkinson
Centro,70-74 anni,maschi,cause sconosciute e non specificate
Centro,70-74 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,55-59 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,70-74 anni,maschi,artrite reumatoide a osteoartrosi
Centro,20-24 anni,totale,di cui cadute accidentali
Centro,60-64 anni,totale,di cui tumori maligni dell'esofago
Centro,30-34 anni,totale,altri disturbi psichici e comportamentali
Centro,totale,totale,cause esterne di traumatismo e avvelenamento
Centro,55-59 anni,femmine,di cui accidenti di trasporto
Centro,95 anni e più,femmine,demenza
Centro,60-64 anni,totale,malattie del rene e dell'uretere
Centro,55-59 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,90-94 anni,maschi,di cui infarto miocardico acuto
Centro,90-94 anni,totale,"omicidio, aggressione"
Centro,30-34 anni,maschi,di cui leucemia
Centro,35-39 anni,femmine,totale
Centro,60-64 anni,maschi,di cui tumori maligni del pancreas
Centro,60-64 anni,totale,di cui infarto miocardico acuto
Centro,45-49 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,45-49 anni,maschi,polmonite
Centro,25-29 anni,femmine,di cui accidenti di trasporto
Centro,55-59 anni,totale,di cui cadute accidentali
Centro,95 anni e più,femmine,di cui avvelenamento accidentale
Centro,15-19 anni,totale,accidenti
Centro,65-69 anni,femmine,di cui melanomi maligni della cute
Centro,0 anni,totale,di cui altri tumori maligni
Centro,60-64 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,5-9 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,90-94 anni,maschi,malattie del rene e dell'uretere
Centro,totale,maschi,di cui melanomi maligni della cute
Centro,totale,totale,tumori maligni
Centro,65-69 anni,maschi,tumori maligni
Centro,50-54 anni,maschi,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,70-74 anni,totale,di cui infarto miocardico acuto
Centro,totale,maschi,"Covid-19, altro"
